,drift_score,is_drifted
sensor_552,0.314912301119497,0
sensor_453,0.312824598609443,0
sensor_301,0.31156447698072454,0
sensor_549,0.31044427906302696,0
sensor_302,0.3102219592152207,0
sensor_83,0.3018344529582741,0
sensor_564,0.301356419200744,0
sensor_123,0.30028863717082344,0
sensor_177,0.29834638996111335,0
sensor_167,0.2980407292928947,0
sensor_448,0.2973051308720621,0
sensor_133,0.29239019337311223,0
sensor_202,0.29004008307211604,0
sensor_566,0.2887700758065212,0
sensor_353,0.28791819643697514,0
sensor_485,0.2866210915042138,0
sensor_385,0.28525217125893293,0
sensor_121,0.2830337609018327,0
sensor_431,0.28216499256365046,0
sensor_411,0.2819156585827143,0
sensor_127,0.2790628575810056,0
sensor_297,0.2755767524928504,0
sensor_383,0.2755417553729493,0
sensor_416,0.2739340624360707,0
sensor_63,0.27311090065454724,0
sensor_468,0.2724656110485861,0
sensor_245,0.27242488728118724,0
sensor_439,0.2681187853521584,0
sensor_138,0.2661139154769767,0
sensor_162,0.2637026793952493,0
sensor_143,0.2614941414882808,0
sensor_76,0.2612470305153647,0
sensor_438,0.2607521541887185,0
sensor_166,0.2589997564269233,0
sensor_113,0.2574069725329224,0
sensor_303,0.2563158152796502,0
sensor_517,0.2552298678582707,0
sensor_415,0.25408348680970866,0
sensor_48,0.25256344492035426,0
sensor_568,0.2521711432992681,0
sensor_53,0.24522956744995003,0
sensor_215,0.24367328563336849,0
sensor_168,0.24143308227238716,0
sensor_21,0.23799775700498169,0
sensor_17,0.2341256563386735,0
sensor_134,0.2280255430561683,0
sensor_280,0.22799977129820498,0
sensor_212,0.22213551089523698,0
sensor_338,0.22094937337194986,0
sensor_277,0.21892886476330461,0
sensor_142,0.2151683956034981,0
sensor_366,0.21448486200156586,0
sensor_100,0.2128905788009274,0
sensor_392,0.21159145318270772,0
sensor_82,0.21027364653687214,0
sensor_350,0.20856900668210626,0
sensor_110,0.2080838978767483,0
sensor_546,0.20456477638982634,0
sensor_14,0.2039335351077374,0
sensor_7,0.20348240974754744,0
sensor_331,0.2029136705150347,0
sensor_41,0.2025507442548245,0
sensor_128,0.19981285325405618,0
sensor_90,0.19928884912520317,0
sensor_3,0.1961024209190112,0
sensor_54,0.1956774902349772,0
sensor_92,0.19549631146619106,0
sensor_470,0.19447070944729014,0
sensor_43,0.1938565164406661,0
sensor_577,0.19114269622812477,0
sensor_112,0.1908283355162436,0
sensor_87,0.18823482499462485,0
sensor_198,0.18582490375482674,0
sensor_105,0.18436921771326056,0
sensor_6,0.18281061598120307,0
sensor_210,0.18218350520050566,0
sensor_490,0.18164861584693104,0
sensor_254,0.1804024934765759,0
sensor_2,0.18032316373433882,0
sensor_526,0.179856311505186,0
sensor_434,0.1782921857284268,0
sensor_323,0.1782274679234793,0
sensor_294,0.1778878467163893,0
sensor_173,0.17753544438252344,0
sensor_227,0.17726589607365012,0
sensor_444,0.17719942811474296,0
sensor_388,0.1769756742104636,0
sensor_86,0.17683863333360333,0
sensor_550,0.1758887129019852,0
sensor_228,0.17540656221609247,0
sensor_436,0.1749723032806026,0
sensor_175,0.17476914623924195,0
sensor_26,0.17447490237309152,0
sensor_365,0.1739364143705275,0
sensor_118,0.17375615848597248,0
sensor_115,0.17367701056873094,0
sensor_93,0.17239894644682655,0
sensor_446,0.17221108255992826,0
sensor_250,0.17144682803378677,0
sensor_348,0.17129543676691877,0
sensor_4,0.1706888710452404,0
sensor_430,0.1706691164872958,0
sensor_581,0.17009639871256452,0
sensor_459,0.16957428328620622,0
sensor_106,0.16861762207991443,0
sensor_553,0.16845695825309137,0
sensor_140,0.16833469819453975,0
sensor_275,0.16832852765581519,0
sensor_159,0.16665062560564398,0
sensor_40,0.16573702009112085,0
sensor_299,0.16532216620553142,0
sensor_435,0.1639052376124915,0
sensor_357,0.16306931152423898,0
sensor_556,0.16024172104878337,0
sensor_164,0.15961037895223287,0
sensor_213,0.15878278082135172,0
sensor_351,0.15874288539224848,0
sensor_288,0.15833207649611172,0
sensor_572,0.15717557935113055,0
sensor_187,0.15663557638094544,0
sensor_129,0.1561130284048784,0
sensor_569,0.15300995462638564,0
sensor_460,0.1516593820503655,0
sensor_108,0.15158757437930814,0
sensor_334,0.15124876643990295,0
sensor_89,0.1504380870184377,0
sensor_426,0.15027579647275457,0
sensor_443,0.14661637081112017,0
